"participant","X","environment","ageGroup","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","roundnLL","age_years","age_months","id"
97,1970,"Smooth","Younger",3,318.431852745339,0.234333241972025,"RBF","UCB",NA,0.399306920478971,0.536379535539825,0.0067379741681333,82.4932197813423,6,74,396
99,1978,"Smooth","Younger",3,300.6283360966,0.277141650604557,"RBF","UCB",NA,0.426576985398893,0.551748359153997,0.00673794744613506,87.1635246135035,6,82,398
99,1977,"Smooth","Younger",2,300.6283360966,0.277141650604557,"RBF","UCB",NA,0.429631898808868,0.550435704614989,0.00675676265080105,92.4061222697087,6,82,398
99,1979,"Smooth","Younger",4,300.6283360966,0.277141650604557,"RBF","UCB",NA,0.41168309276407,0.552280386364471,0.00673796215220566,45.2923290817785,6,82,398
99,1980,"Smooth","Younger",5,300.6283360966,0.277141650604557,"RBF","UCB",NA,0.425340156062373,0.552090329312136,0.00673813592295899,75.7663601316095,6,82,398
101,1985,"Smooth","Younger",2,334.230718717558,0.196344999322374,"RBF","UCB",NA,0.400321093270127,0.550535913168917,0.00673794848856481,94.7262276278624,6,77,400
101,1987,"Smooth","Younger",4,334.230718717558,0.196344999322374,"RBF","UCB",NA,0.384268419957193,0.560582314650334,0.00673794802154117,65.6847793325196,6,77,400
101,1986,"Smooth","Younger",3,334.230718717558,0.196344999322374,"RBF","UCB",NA,0.381888318133367,0.507732881004045,0.00673794950101576,75.5371584579215,6,77,400
101,1988,"Smooth","Younger",5,334.230718717558,0.196344999322374,"RBF","UCB",NA,0.395283780691068,0.560737069349187,0.00673794914916739,98.2825532992548,6,77,400
103,1989,"Smooth","Younger",2,425.645874866106,-0.0234619880736253,"RBF","UCB",NA,54.5981462370071,0.00673802200113198,0.169865709288289,97.0141132312768,6,81,401
103,1992,"Smooth","Younger",5,425.645874866106,-0.0234619880736253,"RBF","UCB",NA,0.474708527778616,0.499907245712409,0.0173365384895313,98.566536258696,6,81,401
103,1990,"Smooth","Younger",3,425.645874866106,-0.0234619880736253,"RBF","UCB",NA,0.413812780952034,0.516108307065659,0.0121215813976579,121.603415571505,6,81,401
103,1991,"Smooth","Younger",4,425.645874866106,-0.0234619880736253,"RBF","UCB",NA,19.4380325033561,0.00673794707727099,0.154228594904904,108.461809804628,6,81,401
107,2002,"Smooth","Younger",3,431.302134046098,-0.037062416521888,"RBF","UCB",NA,0.0357693542740913,0.487510154903862,0.157917635017259,98.6812064920898,5,67,404
107,2003,"Smooth","Younger",4,431.302134046098,-0.037062416521888,"RBF","UCB",NA,0.400967076232251,0.314509736377412,0.0112807080613139,132.140135157186,5,67,404
107,2001,"Smooth","Younger",2,431.302134046098,-0.037062416521888,"RBF","UCB",NA,0.0437931840330812,0.452036179511762,0.147242345774026,98.9274853640024,5,67,404
107,2004,"Smooth","Younger",5,431.302134046098,-0.037062416521888,"RBF","UCB",NA,0.0869624914007256,14.14352246512,4.62702948441931,101.55330703282,5,67,404
109,2005,"Smooth","Younger",2,298.984697395411,0.281093766276589,"RBF","UCB",NA,0.431470968476229,0.471872972824377,0.00673794744620918,112.290678274331,6,82,405
109,2006,"Smooth","Younger",3,298.984697395411,0.281093766276589,"RBF","UCB",NA,0.397861181452493,0.490714448334453,0.00673794708865704,52.7523570239446,6,82,405
109,2007,"Smooth","Younger",4,298.984697395411,0.281093766276589,"RBF","UCB",NA,0.418193159527699,0.47938381400439,0.00673794787474831,76.8961854207284,6,82,405
109,2008,"Smooth","Younger",5,298.984697395411,0.281093766276589,"RBF","UCB",NA,0.414006731632566,0.463608328927901,0.00673794735045998,57.045476676407,6,82,405
111,2013,"Smooth","Younger",2,399.693387652942,0.0389405529283187,"RBF","UCB",NA,1.37736316285333,0.00673795386149272,0.182667575657966,104.079669569994,5,68,407
111,2014,"Smooth","Younger",3,399.693387652942,0.0389405529283187,"RBF","UCB",NA,1.24297280142698,0.00673794873666497,0.209278032304224,93.4270609133699,5,68,407
111,2016,"Smooth","Younger",5,399.693387652942,0.0389405529283187,"RBF","UCB",NA,1.33226745437798,0.00673794723147652,0.175732651895871,106.059938393413,5,68,407
111,2015,"Smooth","Younger",4,399.693387652942,0.0389405529283187,"RBF","UCB",NA,1.21119439277979,0.00673794757349628,0.193366236492325,96.1267187761646,5,68,407
113,2023,"Smooth","Younger",4,171.059672734713,0.588688430749235,"RBF","UCB",NA,0.453892002478927,0.490356297106478,0.00673794936469701,21.9946136067712,6,81,409
113,2024,"Smooth","Younger",5,171.059672734713,0.588688430749235,"RBF","UCB",NA,0.445281961810506,0.501885399660449,0.00673794753979152,35.4767784781823,6,81,409
113,2021,"Smooth","Younger",2,171.059672734713,0.588688430749235,"RBF","UCB",NA,0.456026232764946,0.494682650043895,0.00673794757743481,44.2284095837409,6,81,409
113,2022,"Smooth","Younger",3,171.059672734713,0.588688430749235,"RBF","UCB",NA,0.482328701895869,0.489146594512798,0.00673794833441422,69.3598710660181,6,81,409
115,2030,"Smooth","Younger",3,418.339775740634,-0.00589453311268961,"RBF","UCB",NA,0.0511506630014436,0.399399146995153,0.267267247834849,101.22966823764,6,77,411
115,2029,"Smooth","Younger",2,418.339775740634,-0.00589453311268961,"RBF","UCB",NA,0.0130216845328229,0.231968316578788,0.112275777889789,109.680723421841,6,77,411
115,2032,"Smooth","Younger",5,418.339775740634,-0.00589453311268961,"RBF","UCB",NA,0.0879952592110312,0.445446932702125,0.260279018808621,102.146025511586,6,77,411
115,2031,"Smooth","Younger",4,418.339775740634,-0.00589453311268961,"RBF","UCB",NA,1.04347337579849,0.00673860500537382,0.202129956700983,105.283358569567,6,77,411
117,2037,"Smooth","Younger",2,418.358225365868,-0.00593889508407575,"RBF","UCB",NA,0.375323009509727,0.518575556172881,0.00673795024879068,90.1139480192142,5,71,413
117,2038,"Smooth","Younger",3,418.358225365868,-0.00593889508407575,"RBF","UCB",NA,0.397968569515762,0.512890369279279,0.00673798512014103,113.283874245589,5,71,413
117,2039,"Smooth","Younger",4,418.358225365868,-0.00593889508407575,"RBF","UCB",NA,0.36166531611764,1.35845956956786,0.400378600594774,100.989148589324,5,71,413
117,2040,"Smooth","Younger",5,418.358225365868,-0.00593889508407575,"RBF","UCB",NA,0.390437618132915,0.516142270578367,0.00673795408967986,113.971254511741,5,71,413
