"id","nLL","kernel","acq","R2","kError","lambda","beta","tau","epsilon","age_years","experiment","age_months","condition","agegroup"
103,440.687348870533,"BMT","UCB",0.470185456001648,4.47831104695792,NA,0.256482179715102,0.0139608780682453,NA,20,"Adolescent",240,"Smooth","[18,25)"
104,793.245492033105,"BMT","UCB",0.0463238853635947,2.28173394093276,NA,3.71650327175932,0.29934320871483,NA,18,"Adolescent",216,"Smooth","[18,25)"
105,435.482541726525,"BMT","UCB",0.476442913881184,13.4501545681462,NA,0.0120586827433341,0.00673796019718767,NA,19,"Adolescent",228,"Smooth","[18,25)"
106,674.62981571532,"BMT","UCB",0.188929092026394,4.775267472815,NA,0.185528719763229,0.0250196152237673,NA,22,"Adolescent",264,"Smooth","[18,25)"
107,363.285734429512,"BMT","UCB",0.563241227094031,6.90170484867018,NA,0.296816679970283,0.00674203950651649,NA,23,"Adolescent",276,"Smooth","[18,25)"
108,503.149020392385,"BMT","UCB",0.395091169543139,7.78080442197767,NA,0.282058503341515,0.00673864740331591,NA,23,"Adolescent",276,"Smooth","[18,25)"
109,509.472060839858,"BMT","UCB",0.387489320295713,0.950114214893243,NA,0.186458136347225,0.0230069594500509,NA,24,"Adolescent",288,"Smooth","[18,25)"
110,478.269986424486,"BMT","UCB",0.425001885316135,6.35417165340924,NA,0.111439919642218,0.0217355038402183,NA,25,"Adolescent",300,"Smooth","[25,55]"
111,829.285640032498,"BMT","UCB",0.00299476637057083,14.1880179463449,NA,0.490216820088448,0.0665044851704835,NA,25,"Adolescent",300,"Smooth","[25,55]"
112,800.482877131522,"BMT","UCB",0.0376227690381868,6.69033352640889,NA,14.4944842356859,1.1655423333864,NA,24,"Adolescent",288,"Smooth","[18,25)"
113,521.594465032067,"BMT","UCB",0.372915209952588,3.56935263539864,NA,0.164056656488686,0.0279494026138771,NA,25,"Adolescent",300,"Smooth","[25,55]"
114,497.560307279868,"BMT","UCB",0.401810176786787,7.34589034014485,NA,0.284052059550014,0.00673805187882349,NA,25,"Adolescent",300,"Smooth","[25,55]"
115,304.795036784992,"BMT","UCB",0.633561426618936,5.70924320047685,NA,0.286119642230518,0.006737967382313,NA,24,"Adolescent",288,"Smooth","[18,25)"
116,784.328942278142,"BMT","UCB",0.0570437704580324,1.92175673870737,NA,6.4014845416747,0.024382251327507,NA,25,"Adolescent",300,"Smooth","[25,55]"
117,784.328942278142,"BMT","UCB",0.0570437704580324,0.0923761373578387,NA,10.8139542719667,0.121995576057306,NA,22,"Adolescent",264,"Smooth","[18,25)"
118,796.355607416034,"BMT","UCB",0.0425847619973082,3.93053042726546,NA,9.00490370842097,2.06713865940174,NA,21,"Adolescent",252,"Smooth","[18,25)"
119,602.859380059065,"BMT","UCB",0.27521480169616,2.97822737364834,NA,0.208590868983796,0.0231577098468137,NA,21,"Adolescent",252,"Smooth","[18,25)"
120,372.207684149381,"BMT","UCB",0.552514849914102,4.91777044801012,NA,0.276523785112529,0.00973168608916485,NA,22,"Adolescent",264,"Smooth","[18,25)"
121,648.327020702849,"BMT","UCB",0.220551518631403,7.09739632095185,NA,0.315876406129363,0.00702846630017134,NA,23,"Adolescent",276,"Smooth","[18,25)"
122,549.240208764724,"BMT","UCB",0.339678228798594,4.79668557285815,NA,0.267870127417007,0.0131927499606519,NA,21,"Adolescent",252,"Smooth","[18,25)"
123,610.360799000222,"BMT","UCB",0.266196251774462,3.63379451062495,NA,0.0955636498661007,0.041722579956771,NA,21,"Adolescent",252,"Smooth","[18,25)"
